"","n_obs","p","g","non_zero","beta_prior"
"1",100,20,4,0.25,"horseshoe"
"2",250,20,4,0.25,"horseshoe"
"3",500,20,4,0.25,"horseshoe"
"4",100,60,4,0.25,"horseshoe"
"5",250,60,4,0.25,"horseshoe"
"6",500,60,4,0.25,"horseshoe"
"7",100,100,4,0.25,"horseshoe"
"8",250,100,4,0.25,"horseshoe"
"9",500,100,4,0.25,"horseshoe"
"10",100,20,10,0.25,"horseshoe"
"11",250,20,10,0.25,"horseshoe"
"12",500,20,10,0.25,"horseshoe"
"13",100,60,10,0.25,"horseshoe"
"14",250,60,10,0.25,"horseshoe"
"15",500,60,10,0.25,"horseshoe"
"16",100,100,10,0.25,"horseshoe"
"17",250,100,10,0.25,"horseshoe"
"18",500,100,10,0.25,"horseshoe"
"19",100,20,4,1,"horseshoe"
"20",250,20,4,1,"horseshoe"
"21",500,20,4,1,"horseshoe"
"22",100,60,4,1,"horseshoe"
"23",250,60,4,1,"horseshoe"
"24",500,60,4,1,"horseshoe"
"25",100,100,4,1,"horseshoe"
"26",250,100,4,1,"horseshoe"
"27",500,100,4,1,"horseshoe"
"28",100,20,10,1,"horseshoe"
"29",250,20,10,1,"horseshoe"
"30",500,20,10,1,"horseshoe"
"31",100,60,10,1,"horseshoe"
"32",250,60,10,1,"horseshoe"
"33",500,60,10,1,"horseshoe"
"34",100,100,10,1,"horseshoe"
"35",250,100,10,1,"horseshoe"
"36",500,100,10,1,"horseshoe"
"37",100,20,4,0.25,"cauchy"
"38",250,20,4,0.25,"cauchy"
"39",500,20,4,0.25,"cauchy"
"40",100,60,4,0.25,"cauchy"
"41",250,60,4,0.25,"cauchy"
"42",500,60,4,0.25,"cauchy"
"43",100,100,4,0.25,"cauchy"
"44",250,100,4,0.25,"cauchy"
"45",500,100,4,0.25,"cauchy"
"46",100,20,10,0.25,"cauchy"
"47",250,20,10,0.25,"cauchy"
"48",500,20,10,0.25,"cauchy"
"49",100,60,10,0.25,"cauchy"
"50",250,60,10,0.25,"cauchy"
"51",500,60,10,0.25,"cauchy"
"52",100,100,10,0.25,"cauchy"
"53",250,100,10,0.25,"cauchy"
"54",500,100,10,0.25,"cauchy"
"55",100,20,4,1,"cauchy"
"56",250,20,4,1,"cauchy"
"57",500,20,4,1,"cauchy"
"58",100,60,4,1,"cauchy"
"59",250,60,4,1,"cauchy"
"60",500,60,4,1,"cauchy"
"61",100,100,4,1,"cauchy"
"62",250,100,4,1,"cauchy"
"63",500,100,4,1,"cauchy"
"64",100,20,10,1,"cauchy"
"65",250,20,10,1,"cauchy"
"66",500,20,10,1,"cauchy"
"67",100,60,10,1,"cauchy"
"68",250,60,10,1,"cauchy"
"69",500,60,10,1,"cauchy"
"70",100,100,10,1,"cauchy"
"71",250,100,10,1,"cauchy"
"72",500,100,10,1,"cauchy"
